moduleCode,moduleCredit,prereqTree
ABM5102,4,
AC5001,4,
ABM5001,2,
ABM5002,2,
ABM5004,8,
AC5002,4,
ABM5107,4,
ABM5101,4,
ABM5105,4,
ABM5106,4,
AC5015,4,
AC5011,4,
AC5004,4,
AC5007,4,
AC5010,4,
ACC1701X,4,
AC5009,8,
AC5014,4,
ACC1701,4,
AC5012,4,
ACC2707,4,"{'or': ['ACC1701:D', 'ACC1701X:D', 'EC2204:D']}"
ACC2706,4,"{'or': ['ACC1701:D', 'ACC1701X:D', 'EC2204:D']}"
ACC3703,4,"{'and': [{'or': ['ACC1701%:D', 'EC2204:D']}, {'or': ['BSP1702%:D', 'LC1005:D']}]}"
ACC2708,4,ACC2707:D
ACC2709,4,"{'or': ['ACC1701:D', 'ACC1701X:D', 'EC2204:D']}"
ACC3704,4,"{'and': ['ACC2707:D', 'ACC2708:D']}"
ACC3702,4,BSP1702%:D
ACC3701,4,ACC1701%:D
ACC3706,4,"{'and': [{'or': ['ACC1701%:D', 'EC2204:D']}, 'BSP1702%:D']}"
ACC3705,4,FIN2704%:D
ACC3707,4,"{'and': [{'or': ['ACC1701%:D', 'EC2204:D']}, {'or': ['BSP1702%:D', 'LC1005:D']}, 'DAO1704%:D', 'MKT1705%:D', 'MNO1706%:D', 'BSP1707%:D', 'BSP2701%:D', 'FIN2704%:D', {'or': ['MNO2706%:D', 'ES1601:D', 'ES2002:D']}, 'DAO2702%:D', 'DAO2703%:D', 'ACC2706%:D', 'ACC2707%:D', 'ACC2708%:D', 'ACC2709%:D']}"
ACC4619,4,
ACC4629,2,
ACC4711,4,ACC3703%:D
ACC4712,4,ACC3701%:D
ACC4752,2,
ACC4713,4,ACC3701%:D
ACC4751,4,
ACC4761A,4,"{'and': ['ACC2706%:D', 'ACC3701%:D', 'ACC3706%:D']}"
ACC4761H,4,"{'and': ['FIN2704%:D', 'ACC2708%:D']}"
ACE5402,4,
ACE5401,4,
ACE5403,8,
ACE5405,4,
ACE5404,4,
ACE5407,4,
ACE5408,4,
ACE5410,4,
ACE5406,4,
ACE5409,4,
ACE5411,4,
ACE5413,4,
ACE5480,4,
AH2101,4,
AH2202,4,AH2101:D
AH2203,4,AH2101:D
AH2204,4,AH2101:D
AH3201,4,AH2101:D
AH3204,4,AH2101:D
AH3206,4,AH2101:D
AH3550,4,"{'and': ['AH2101:D', 'AH%:D']}"
AN1101E,4,
ALS1010,2,
AN2101,4,
AN2202,4,
AN2203,4,
AN2204,4,
AN2205,4,
AN3101,4,
AN3203,4,
AN2206,4,
AN3208,4,
AR1101,4,
AN3209,4,
AR1102,8,
AR2101,8,"{'nOf': [2, ['AR1101:C', 'AR1102:C']]}"
AR1329,4,
AR2227,4,
AR2102,8,"{'nOf': [2, ['AR1101:C', 'AR1102:C']]}"
AR2225,4,
AR2228,4,
AR2328,4,
AR2522,2,
AR2524,4,
AR3101,8,
