moduleCode,title,semesters
ABM5001,Leadership in Biomedicine,3
ABM5002,Advanced Biostatistics for Research,2
ABM5004,Capstone Project,"1,2"
ABM5101,Applied Immunology,2
ABM5102,Vaccine development and its modern applications,2
ABM5105,Drugs used in Infectious Diseases,1
ABM5106,Anticancer Therapeutics,2
ABM5107,"One World, One Health: Ecosystems, Animals and Us",1
AC5001,Architectural History of Singapore,1
AC5002,Conservation Approaches and Philosophies,"1,2"
AC5004,Architectural Heritage Management,2
AC5007,Dissertation,"1,2"
AC5009,Design for Adaptive Reuse,1
AC5010,Historic Buildings Survey and Recording,2
AC5011,Conservation of C20th Buildings,1
AC5012,Practical Building Conservation Skills,2
AC5014,Internship,"1,2"
AC5015,Heritage Interpretation & Material Culture,1
ACC1701,Accounting for Decision Makers,"1,2"
ACC1701X,Accounting for Decision Makers,"1,2"
ACC2706,Managerial Accounting,"1,2"
ACC2707,Corporate Accounting & Reporting I,"1,2"
ACC2708,Corporate Accounting & Reporting II,"1,2"
ACC2709,Accounting Information Systems,"1,2"
ACC3701,Assurance and Attestation,"1,2"
ACC3702,Corporate and Securities Law,"1,2"
ACC3703,Taxation,"1,2"
ACC3704,Advanced Corporate Accounting and Reporting,"1,2"
ACC3705,Valuation,"1,2"
ACC3706,"Governance, Risk Management and Sustainability","1,2"
ACC3707,Integrated Perspectives in Accounting and Business,"1,2"
ACC4619,Advanced Independent Study in Accounting,1
ACC4629,Advanced Independent Study in Accounting,1
ACC4711,Advanced Taxation,"1,2"
ACC4712,Forensic Accounting,"1,2"
ACC4713,Banking Institutions:Managing Risks in a DigitalWorld,2
ACC4751,Advanced Independent Study in Accounting,1
ACC4752,Advanced Independent Study in Accounting (2 MCs),1
ACC4761A,Seminars in Accounting: Internal Audit,"1,2"
ACC4761H,Sem. in Acctg: Accounting & Business Analysis for Banks,1
ACE5401,Approaches to Arts & Cultural Entrepreneurship,"1,2"
ACE5402,Final Year Project,2
ACE5403,Internship,"3,4"
ACE5404,Heritage: Peoples and Institutions,1
ACE5405,Cultural Industries and the Law,1
ACE5406,Arts Business,"1,2"
ACE5407,"Museums, Exhibitions and the Curatorial",2
ACE5408,Managing Cultural Events,2
ACE5409,Applied Arts Research and Practice,2
ACE5410,Cultural Diplomacy and Intelligence,2
ACE5411,Cultural Analytics and Informatics,2
ACE5413,Consulting as an Advanced Communication & Career Skill,2
